Site,Round,Tierce_Prediction
桐生,2R,1-2-6
桐生,4R,1-3-2
桐生,5R,1-3-2
桐生,6R,1-3-2
桐生,7R,1-3-4
桐生,9R,1-2-3
桐生,12R,1-3-2
江戸川,2R,1-2-5
江戸川,3R,1-3-2
江戸川,5R,1-3-2
江戸川,7R,1-4-5
江戸川,9R,1-2-3
江戸川,11R,1-2-4
浜名湖,7R,1-4-2
浜名湖,10R,1-3-2
浜名湖,11R,1-3-2
蒲郡,7R,1-4-5
蒲郡,10R,1-2-4
蒲郡,12R,1-3-4
尼崎,2R,1-2-6
尼崎,4R,1-4-3
尼崎,6R,1-3-6
尼崎,7R,1-2-4
尼崎,11R,1-2-3
丸亀,1R,1-2-4
丸亀,6R,1-3-4
丸亀,7R,1-4-2
丸亀,9R,1-2-3
丸亀,10R,1-2-6
児島,2R,1-3-2
児島,6R,1-2-3
児島,7R,1-3-2
児島,9R,1-4-2
宮島,4R,1-4-3
宮島,5R,1-4-3
宮島,6R,1-2-6
宮島,9R,1-2-6
芦屋,2R,1-4-3
芦屋,4R,1-3-2
芦屋,6R,1-6-2
芦屋,8R,1-2-3
芦屋,9R,1-4-2
芦屋,11R,1-3-2
芦屋,12R,1-2-3
唐津,2R,1-2-4
唐津,3R,1-3-4
唐津,6R,1-3-2
