Site,Round,Tierce_Prediction,Answer,Result,Payoff
桐生,2R,1-2-6,1-5-3,,0
桐生,4R,1-3-2,1-3-2,Hit,710
桐生,5R,1-3-2,1-2-3,,0
桐生,6R,1-3-2,1-3-5,,0
桐生,7R,1-3-4,3-4-1,,0
桐生,9R,1-2-3,1-2-4,,0
桐生,12R,1-3-2,1-2-4,,0
江戸川,2R,1-2-5,1-2-5,Hit,1050
江戸川,3R,1-3-2,3-5-4,,0
江戸川,5R,1-3-2,2-4-5,,0
江戸川,7R,1-4-5,5-1-4,,0
江戸川,9R,1-2-3,1-6-4,,0
江戸川,11R,1-2-4,1-2-3,,0
浜名湖,7R,1-4-2,4-1-3,,0
浜名湖,10R,1-3-2,1-2-3,,0
浜名湖,11R,1-3-2,4-3-1,,0
蒲郡,7R,1-4-5,1-4-2,,0
蒲郡,10R,1-2-4,1-2-5,,0
蒲郡,12R,1-3-4,1-4-2,,0
尼崎,2R,1-2-6,6-2-1,,0
尼崎,4R,1-4-3,6-4-3,,0
尼崎,6R,1-3-6,1-5-6,,0
尼崎,7R,1-2-4,1-2-4,Hit,940
尼崎,11R,1-2-3,1-4-6,,0
丸亀,1R,1-2-4,2-3-4,,0
丸亀,6R,1-3-4,1-3-4,Hit,580
丸亀,7R,1-4-2,4-1-6,,0
丸亀,9R,1-2-3,1-2-6,,0
丸亀,10R,1-2-6,1-5-2,,0
児島,2R,1-3-2,1-3-5,,0
児島,6R,1-2-3,1-3-4,,0
児島,7R,1-3-2,4-5-1,,0
児島,9R,1-4-2,1-4-5,,0
宮島,4R,1-4-3,1-2-3,,0
宮島,5R,1-4-3,4-1-5,,0
宮島,6R,1-2-6,1-6-2,,0
宮島,9R,1-2-6,1-3-6,,0
芦屋,2R,1-4-3,5-4-1,,0
芦屋,4R,1-3-2,1-2-4,,0
芦屋,6R,1-6-2,4-6-2,,0
芦屋,8R,1-2-3,1-2-4,,0
芦屋,9R,1-4-2,1-2-5,,0
芦屋,11R,1-3-2,1-2-4,,0
芦屋,12R,1-2-3,1-2-3,Hit,590
唐津,2R,1-2-4,1-4-2,,0
唐津,3R,1-3-4,4-1-3,,0
唐津,6R,1-3-2,1-4-3,,0
